#id	title	latitude	longitude	othernames	category	subcategory	subsubcategory	Addresscode_1	AddressCode_2	AddressCode_3	Detailed_address	BusinessHours	closingdays	parkingLot	cost	publicTransportationAccess	satisfaction	spendingTime	spendingTimeSD	placeURL
daum.9451560	한라마을	33.48815027244273	126.48865284684857		쇼핑	꽃	꽃	대한민국	제주특별자치도	제주시	연동 261-44 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	10.0	2.0	0.1	http://place.map.daum.net/9451560
daum.13117121	청룡수산	33.240580009200244	126.56473410995328		쇼핑	식품	수산물	대한민국	제주특별자치도	서귀포시	서귀동 780 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	10.0	0.5	0.1	http://place.map.daum.net/13117121
daum.27302642	벨롱장	33.527592036297825	126.85677729170024		쇼핑	기념품	기념품	대한민국	제주특별자치도	제주시	구좌읍 세화리 1500-63 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	1.0	1.0	0.1	http://place.map.daum.net/27302642
daum.14105289	중섭공방	33.245644744183295	126.5640394401788		쇼핑	기념품	기념품	대한민국	제주특별자치도	서귀포시	정방동 511-3 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	8.0	0.5	0.1	http://place.map.daum.net/14105289
daum.27007822	제주 샘주	33.44449290598189	126.33735578011664		쇼핑	식품	주류	대한민국	제주특별자치도	제주시	애월읍 상가리 1997-3 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	8.0	0.5	0.1	http://place.map.daum.net/27007822
daum.12501284	수협 바다마트	33.48937653503019	126.49571722371066		쇼핑	식품	수산물	대한민국	제주특별자치도	제주시	연동 292-34 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	9.0	2.0	0.1	http://place.map.daum.net/12501284
daum.11163598	바다보석	33.24318675982957	126.22044401188434		쇼핑	기념품	기념품	대한민국	제주특별자치도	서귀포시	대정읍 일과리 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	4.0	1.0	0.1	http://place.map.daum.net/11163598
daum.11939834	종달수다뜰	33.49188557988486	126.89309084157547		쇼핑	식품	식품	대한민국	제주특별자치도	제주시	구좌읍 종달리 2566-1 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	10.0	0.5	0.1	http://place.map.daum.net/11939834
daum.25857150	어머니빵집	33.48696234949662	126.49711708769438		쇼핑	식품	제과/베이커리	대한민국	제주특별자치도	제주시	연동 303-17 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	10.0	0.5	0.1	http://place.map.daum.net/25857150
daum.27033168	하림이네 농수산	33.261180167976875	126.52712529376961		쇼핑	식품	과일	대한민국	제주특별자치도	서귀포시	호근동 2012 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	4.0	0.5	0.1	http://place.map.daum.net/27033168
